comic_num,panels,words
1,0,34
2,0,28
3,0,7
4,0,18
5,0,50
6,0,59
7,0,9
8,0,25
9,0,95
10,0,3
11,0,23
12,0,60
13,0,86
14,0,35
15,0,40
16,0,178
17,0,53
18,0,77
19,0,48
20,0,111
21,0,59
22,0,30
23,0,95
24,32,620
25,0,20
26,0,42
27,0,23
28,0,51
29,0,106
30,0,76
31,0,53
32,0,115
33,0,35
34,0,9
35,0,37
36,0,23
37,0,45
38,0,44
39,0,36
40,0,35
41,0,47
42,0,24
43,0,35
44,0,48
45,0,52
46,0,26
47,0,38
48,0,41
49,0,65
50,0,41
51,0,33
52,0,72
53,0,55
54,0,44
55,0,70
56,0,64
57,0,90
58,0,34
59,0,134
60,0,31
61,0,55
62,0,67
63,0,36
64,0,39
65,0,120
66,0,47
67,0,45
68,0,213
69,0,35
70,0,96
71,0,29
72,0,109
73,0,41
74,0,43
75,0,27
76,0,104
77,0,106
78,0,105
79,0,69
80,0,22
81,0,59
82,0,48
83,0,162
84,0,79
85,0,141
86,0,67
87,0,64
88,0,36
89,0,105
90,0,51
91,0,26
92,0,129
93,0,68
94,0,88
95,0,24
96,0,114
97,0,44
98,0,67
99,0,39
100,0,46
101,0,47
102,0,110
103,0,66
104,0,117
105,0,80
106,0,102
107,0,62
108,0,100
109,0,33
110,0,25
111,0,19
112,0,79
113,0,99
114,0,85
115,0,47
116,0,45
117,0,119
118,0,78
119,0,69
120,0,127
121,0,38
122,0,88
123,0,134
124,0,334
125,0,133
126,0,27
127,0,96
128,0,98
129,0,86
130,0,96
131,0,64
132,0,156
133,0,66
134,0,45
135,0,323
136,0,55
137,0,283
138,0,59
139,0,75
140,0,62
141,0,422
142,0,164
143,0,13
144,0,27
145,0,165
146,0,94
147,0,108
148,0,60
149,0,40
150,0,105
151,0,46
152,0,110
153,0,64
154,0,158
155,0,131
156,0,73
157,0,41
158,0,125
159,0,77
160,3,294
161,0,38
162,0,91
163,0,98
164,0,158
165,0,139
166,0,46
167,0,118
168,0,63
169,0,133
170,0,109
171,0,36
172,0,50
173,0,97
174,0,46
175,0,45
176,0,96
177,0,178
178,0,58
179,0,85
180,0,92
181,0,130
182,0,155
183,0,91
184,0,48
185,0,55
186,0,58
187,0,74
188,0,47
189,0,54
190,0,97
191,0,33
192,0,103
193,0,94
194,0,53
195,0,334
196,0,121
197,0,62
198,0,75
199,0,153
200,0,78
201,0,80
202,0,129
203,0,51
204,0,27
205,0,73
206,0,136
207,0,302
208,0,99
209,0,89
210,0,24
211,6,151
212,0,61
213,4,110
214,0,57
215,0,79
216,1,143
217,0,96
218,0,71
219,0,145
220,0,77
221,0,27
222,0,83
223,0,38
224,0,153
225,0,156
226,0,71
227,0,69
228,0,120
229,0,83
230,2,171
231,0,62
232,1,78
233,0,33
234,0,160
235,0,137
236,0,79
237,0,96
238,0,34
239,0,164
240,0,182
241,0,73
242,0,62
243,0,68
244,0,57
245,0,114
246,0,72
247,0,128
248,0,86
249,0,104
250,0,86
251,0,75
252,0,115
253,3,85
254,0,167
255,0,127
256,0,248
257,0,91
258,0,172
259,0,33
260,0,176
261,1,75
262,0,68
263,0,157
264,0,180
265,0,140
266,0,106
267,0,273
268,0,85
269,0,198
270,0,126
271,0,83
272,0,69
273,6,505
274,0,123
275,0,47
276,0,150
277,0,180
278,0,129
279,0,88
280,1,70
281,0,35
282,0,68
283,0,149
284,0,48
285,0,55
286,0,150
287,0,114
288,0,91
289,0,123
290,0,59
291,0,39
292,0,70
293,0,96
294,0,108
295,0,63
296,0,50
297,0,88
298,0,144
299,0,155
300,0,87
301,0,31
302,0,82
303,0,67
304,0,211
305,0,161
306,0,142
307,0,71
308,0,91
309,0,128
310,0,73
311,0,204
312,0,52
313,0,103
314,0,215
315,0,71
316,0,141
317,0,62
318,0,70
319,0,75
320,0,187
321,0,56
322,0,202
323,0,103
324,0,71
325,0,94
